Id,Sku,Description,Best Price
2001,SK1,Dinner Plate,12.12
2002,SK2,Side Plate,7.56
2003,SK3,Soup Bowl,9.10
2004,SK4,Salad Bowl,9.98
2005,SK5,Pasta Bowl,9.47
2006,SK6,Serving Platter,21.15
2007,SK7,Cake Stand,28.59
2008,SK8,Bread Basket,15.65
2009,SK9,Cheese Board,21.78
2010,SK10,Cheese Grater,7.37
2011,SK11,Carving Knife,22.75
2012,SK12,Chef Tongs,7.41
2013,SK13,Serving Spoon,5.35
2014,SK14,Slotted Spoon,6.49
2015,SK15,Soup Ladle,7.15
2016,SK16,Sauce Ladle,5.21
2017,SK17,Whisk,4.95
2018,SK18,Mixing Bowl,14.73
2019,SK19,Measuring Jug,9.30
2020,SK20,Measuring Cups Set,11.02
2021,SK21,Chopping Board,13.79
2022,SK22,Pastry Brush,3.70
2023,SK23,Rolling Pin,10.58
2024,SK24,Baking Tray,15.43
2025,SK25,Roasting Pan,27.07
2026,SK26,Oven Mitt Set,7.93
2027,SK27,Apron,11.76
2028,SK28,Napkin Holder,7.12
2029,SK29,Table Caddy,9.35
2030,SK30,Water Pitcher,18.41
2031,SK31,Coffee Pot,21.00
2032,SK32,Tea Pot,19.54
2033,SK33,Milk Frothing Jug,9.51
2034,SK34,Sugar Dispenser,7.28
2035,SK35,Salt Mill,16.74
2036,SK36,Pepper Mill,19.05
2037,SK37,Condiment Pump,27.60
2038,SK38,Food Warmer Tray,39.07
2039,SK39,Chafing Dish,54.84
2040,SK40,Buffet Server,70.11
2041,SK41,Insulated Beverage Urn,71.63
2042,SK42,Juice Dispenser,54.92
2043,SK43,Ice Bucket,21.73
2044,SK44,Wine Cooler,27.03
2045,SK45,Glass Rack,27.24
2046,SK46,Cutlery Tray,14.85
2047,SK47,Plate Rack,17.04
2048,SK48,Storage Canister,15.06
2049,SK49,Food Storage Container Set,27.64
2050,SK50,Thermal Food Carrier,95.80
