Id,Sku,Description,Best Price
1001,SK1,Dinner Plate,13.67
1002,SK2,Side Plate,8.98
1003,SK3,Soup Bowl,10.49
1004,SK4,Salad Bowl,10.90
1005,SK5,Pasta Bowl,11.31
1006,SK6,Serving Platter,26.92
1007,SK7,Cake Stand,30.39
1008,SK8,Bread Basket,15.10
1009,SK9,Cheese Board,21.27
1010,SK10,Cheese Grater,7.93
1011,SK11,Carving Knife,24.48
1012,SK12,Chef Tongs,6.83
1013,SK13,Serving Spoon,4.76
1014,SK14,Slotted Spoon,5.74
1015,SK15,Soup Ladle,5.60
1016,SK16,Sauce Ladle,5.53
1017,SK17,Whisk,5.10
1018,SK18,Mixing Bowl,14.08
1019,SK19,Measuring Jug,8.19
1020,SK20,Measuring Cups Set,8.89
1021,SK21,Chopping Board,13.78
1022,SK22,Pastry Brush,3.37
1023,SK23,Rolling Pin,12.59
1024,SK24,Baking Tray,14.09
1025,SK25,Roasting Pan,23.77
1026,SK26,Oven Mitt Set,8.99
1027,SK27,Apron,13.55
1028,SK28,Napkin Holder,7.51
1029,SK29,Table Caddy,9.61
1030,SK30,Water Pitcher,18.85
1031,SK31,Coffee Pot,24.58
1032,SK32,Tea Pot,22.26
1033,SK33,Milk Frothing Jug,8.17
1034,SK34,Sugar Dispenser,6.77
1035,SK35,Salt Mill,15.15
1036,SK36,Pepper Mill,16.63
1037,SK37,Condiment Pump,27.31
1038,SK38,Food Warmer Tray,33.67
1039,SK39,Chafing Dish,61.78
1040,SK40,Buffet Server,69.90
1041,SK41,Insulated Beverage Urn,65.61
1042,SK42,Juice Dispenser,54.88
1043,SK43,Ice Bucket,21.94
1044,SK44,Wine Cooler,27.01
1045,SK45,Glass Rack,33.73
1046,SK46,Cutlery Tray,13.51
1047,SK47,Plate Rack,19.72
1048,SK48,Storage Canister,12.92
1049,SK49,Food Storage Container Set,22.72
1050,SK50,Thermal Food Carrier,97.82
